evidence_id,architecture_id,claim,value_or_observation,conditions,source_title,doi_or_url,epistemic_status,transfer_warning
E001,A01,"Calcium-alginate can show a lag followed by rapid disintegration when Ca2+ crosslinks are lost","Complete dissolution in a short interval after a lag; dextran release became pulsatile","Ca2+/Mg2+-free PBS, pH 7.4; alginate gel beads","Pulsed dextran release from calcium-alginate gel beads","10.1016/S0168-3659(96)01612-4",PRIMARY_PAPER,"Drug-release bead geometry and PBS chemistry are not dishwashing conditions"
E002,A01,"Ca-alginate swelling/degradation can be driven by ion exchange and Ca2+ release","Ca-crosslinked beads: ~160% water uptake then dissolution; Ca2+ release was diffusion-controlled","PBS pH 7.4; spherical beads","Investigation of swelling/degradation behaviour of alginate beads crosslinked with Ca2+ and Ba2+ ions","10.1016/j.reactfunctpolym.2004.01.002",PRIMARY_PAPER,"Bead composition/size and PBS ionic strength differ from proposed porous composite"
E003,A01,"Alginate wet modulus is tunable via ionic-crosslinking process","Reported tunable moduli 4–30 kPa","SA-Ca(II) hydrogel; neutral solutions; ambient fabrication","A Shapable Alginate Hydrogel Resolving the Conflicts between Multifunctionality and Fabrication Simplicity","10.1021/acsami.2c13165",PRIMARY_PAPER,"Specific fabrication and formulation; use only as scale evidence until full methods are encoded"
E004,A01,"Cellulose nanofibrils can reinforce Ca-alginate while preserving swelling","5 wt% MCNF increased compressive modulus 36%; 5 wt% CMCNF increased it 17%","Calcium-ion-crosslinked alginate hydrogel","The effects of morpholine pre-treated and carboxymethylated cellulose nanofibrils on the properties of alginate-based hydrogels","10.1016/j.carbpol.2018.06.084",PRIMARY_PAPER,"Modified CNF chemistry may not satisfy final simplicity/safety constraints"
E005,A01,"Porous alginate sponge structure is controllable by formulation and freeze processing","Macroporous sponges reported with ~70–300 µm pores","Alginate gelled with bivalent cations, frozen, lyophilized","Novel alginate sponges for cell culture and transplantation","10.1016/S0142-9612(96)00181-0",PRIMARY_PAPER,"Biomedical scaffold target; no timed failure requirement"
E006,A02,"Pullulan provides a water-soluble strong film-forming sacrificial phase","Pullulan film tensile strength 67 MPa and elongation 11%; dissolved faster than alginate or CMC films","55% RH, 20 °C for mechanical values; solvent-cast films","Preparation and properties of pullulan–alginate–carboxymethylcellulose blend films","10.1016/j.foodres.2008.08.005",PRIMARY_PAPER,"Dry film tensile data cannot be used as wet sponge modulus; exact dissolution times must be extracted from full data"
E007,A02,"Water strongly plasticizes pullulan and changes mechanical response","Large decreases in tensile modulus/strength with increasing water content were reported","Pullulan films across moisture contents","Molecular weight effects on solution rheology of pullulan and mechanical properties of its films","10.1016/S0144-8617(02)00302-8",PRIMARY_PAPER,"Moisture-plasticized film behaviour is only mechanistic support, not a sponge lifetime model"
E008,A03,"Calcium pectin can swell and dissolve as calcium crosslinks dissociate","Marked swelling and eventual dissolution as free Ca2+ concentration decreases; reported Ca-binding stability constant ~8000 for the tested pectin gel","High-methoxyl tomato pectin gel, pH 6 binding study / aqueous salt swelling","Calcium binding and swelling behaviour of a high methoxyl pectin gel","10.1016/S0008-6215(98)00172-4",PRIMARY_PAPER,"Pectin source/DE and calcium chemistry strongly affect transferability"
E009,A03,"Crosslink ratio tunes wet pectin mechanics","Dynamic modulus fell from 5.5e4 to 3.5e4 Pa between 30 and 60 °C for crosslink ratio 0.36","2% pectin calcium gel; immersed in water","Swelling behaviour of calcium pectin hydrogels by thermomechanical analysis in water","10.1016/j.tca.2005.01.041",PRIMARY_PAPER,"Temperature range exceeds ordinary dishwashing; single formulation"
E010,A01,"Crosslink duration can create qualitatively different swelling/degradation timing","1-min crosslink: degradation starts ~30 min; 5-min crosslink: swelling to ~240 min, plateau ~240–360 min, degradation after ~360 min","4% w/w low-viscosity alginate; 100 mM CaCl2; 1- or 5-min crosslink; 1-min distilled-water rinse","Swelling, degradation and calcium release study of calcium-alginate beads","10.1016/j.msec.2019.109951",PRIMARY_PAPER,"Bead geometry and wet conditions differ from porous cellulose-reinforced CleanCoin"
E011,A01,"Preparation residence time changes calcium distribution and downstream physical properties","Internal Ca2+ increased with residence time to a later plateau while surface Ca2+ saturated earlier; particle size, porosity, density, strength and swelling changed with IGRT","Low-viscosity alginate particles; ionotropic Ca crosslinking; residence-time study","The effect of ionotropic gelation residence time on alginate cross-linking and properties","10.1016/j.carbpol.2016.08.095",PRIMARY_PAPER,"Particle/drying/drug-loading protocol differs from A01; use to justify preparation-history state, not direct parameter transfer"
